dp,dpnom,dpmp,mpio,2018
05,Antioquia,05001,Medellín,2529403
05,Antioquia,05002,Abejorral,18991
05,Antioquia,05004,Abriaquí,1971
05,Antioquia,05021,Alejandría,3361
05,Antioquia,05030,Amagá,30181
05,Antioquia,05031,Amalfi,22567
05,Antioquia,05034,Andes,47003
05,Antioquia,05036,Angelópolis,9353
05,Antioquia,05038,Angostura,11040
05,Antioquia,05040,Anorí,17737
05,Antioquia,05042,Santafé de Antioquia,25067
05,Antioquia,05044,Anza,7601
05,Antioquia,05045,Apartadó,195068
05,Antioquia,05051,Arboletes,43416
05,Antioquia,05055,Argelia,8306
05,Antioquia,05059,Armenia,3945
05,Antioquia,05079,Barbosa,52395
05,Antioquia,05086,Belmira,6930
05,Antioquia,05088,Bello,482287
05,Antioquia,05091,Betania,8976
05,Antioquia,05093,Betulia,17726
05,Antioquia,05101,Ciudad Bolívar,26698
05,Antioquia,05107,Briceño,8673
05,Antioquia,05113,Buriticá,6495
05,Antioquia,05120,Cáceres,41012
05,Antioquia,05125,Caicedo,8396
05,Antioquia,05129,Caldas,80528
05,Antioquia,05134,Campamento,8915
05,Antioquia,05138,Cañasgordas,16737
05,Antioquia,05142,Caracolí,4519
05,Antioquia,05145,Caramanta,5308
05,Antioquia,05147,Carepa,60141
05,Antioquia,05148,El Carmen de Viboral,48498
05,Antioquia,05150,Carolina,3512
05,Antioquia,05154,Caucasia,120479
05,Antioquia,05172,Chigorodó,82151
05,Antioquia,05190,Cisneros,8869
05,Antioquia,05197,Cocorná,14924
05,Antioquia,05206,Concepción,3194
05,Antioquia,05209,Concordia,20371
05,Antioquia,05212,Copacabana,72735
05,Antioquia,05234,Dabeiba,23068
05,Antioquia,05237,Don Matías,23709
05,Antioquia,05240,Ebéjico,12489
05,Antioquia,05250,El Bagre,50557
05,Antioquia,05264,Entrerrios,10404
05,Antioquia,05266,Envigado,238221
05,Antioquia,05282,Fredonia,21142
05,Antioquia,05284,Frontino,15703
05,Antioquia,05306,Giraldo,3977
05,Antioquia,05308,Girardota,58030
05,Antioquia,05310,Gómez Plata,13266
05,Antioquia,05313,Granada,9881
05,Antioquia,05315,Guadalupe,6318
05,Antioquia,05318,Guarne,50401
05,Antioquia,05321,Guatapé,5097
05,Antioquia,05347,Heliconia,5690
05,Antioquia,05353,Hispania,4885
05,Antioquia,05360,Itagui,276916
05,Antioquia,05361,Ituango,19919
05,Antioquia,05364,Jardín,13516
05,Antioquia,05368,Jericó,11852
05,Antioquia,05376,La Ceja,54615
05,Antioquia,05380,La Estrella,65300
05,Antioquia,05390,La Pintada,6402
05,Antioquia,05400,La Unión,19413
05,Antioquia,05411,Liborina,9572
05,Antioquia,05425,Maceo,6611
05,Antioquia,05440,Marinilla,55798
05,Antioquia,05467,Montebello,5825
05,Antioquia,05475,Murindó,4891
05,Antioquia,05480,Mutatá,22028
05,Antioquia,05483,Nariño,17891
05,Antioquia,05490,Necoclí,67359
05,Antioquia,05495,Nechí,28585
05,Antioquia,05501,Olaya,3341
05,Antioquia,05541,Peñol,15746
05,Antioquia,05543,Peque,11321
05,Antioquia,05576,Pueblorrico,6675
05,Antioquia,05579,Puerto Berrío,49392
05,Antioquia,05585,Puerto Nare,19209
05,Antioquia,05591,Puerto Triunfo,21317
05,Antioquia,05604,Remedios,31333
05,Antioquia,05607,Retiro,19702
05,Antioquia,05615,Rionegro,126193
05,Antioquia,05628,Sabanalarga,8191
05,Antioquia,05631,Sabaneta,53914
05,Antioquia,05642,Salgar,17397
05,Antioquia,05647,San Andrés de Cuerquía,5917
05,Antioquia,05649,San Carlos,16132
05,Antioquia,05652,San Francisco,5021
05,Antioquia,05656,San Jerónimo,12890
05,Antioquia,05658,San José de La Montaña,3436
05,Antioquia,05659,San Juan de Urabá,26646
05,Antioquia,05660,San Luis,10926
05,Antioquia,05664,San Pedro,27978
05,Antioquia,05665,San Pedro de Uraba,32063
05,Antioquia,05667,San Rafael,12819
05,Antioquia,05670,San Roque,16366
05,Antioquia,05674,San Vicente,16509
05,Antioquia,05679,Santa Bárbara,21591
05,Antioquia,05686,Santa Rosa de Osos,36991
05,Antioquia,05690,Santo Domingo,10049
05,Antioquia,05697,El Santuario,27273
05,Antioquia,05736,Segovia,41711
05,Antioquia,05756,Sonson,34339
05,Antioquia,05761,Sopetrán,15057
05,Antioquia,05789,Támesis,14224
05,Antioquia,05790,Tarazá,46343
05,Antioquia,05792,Tarso,8051
05,Antioquia,05809,Titiribí,14691
05,Antioquia,05819,Toledo,6651
05,Antioquia,05837,Turbo,172314
05,Antioquia,05842,Uramita,8212
05,Antioquia,05847,Urrao,46508
05,Antioquia,05854,Valdivia,23931
05,Antioquia,05856,Valparaíso,6102
05,Antioquia,05858,Vegachí,8949
05,Antioquia,05861,Venecia,13184
05,Antioquia,05873,Vigía del Fuerte,5610
05,Antioquia,05885,Yalí,8577
05,Antioquia,05887,Yarumal,48556
05,Antioquia,05890,Yolombó,25231
05,Antioquia,05893,Yondó,19757
05,Antioquia,05895,Zaragoza,31884
08,Atlántico,08001,Barranquilla,1232462
08,Atlántico,08078,Baranoa,59551
08,Atlántico,08137,Campo de La Cruz,15206
08,Atlántico,08141,Candelaria,12554
08,Atlántico,08296,Galapa,46314
08,Atlántico,08372,Juan de Acosta,17487
08,Atlántico,08421,Luruaco,27909
08,Atlántico,08433,Malambo,127202
08,Atlántico,08436,Manatí,16294
08,Atlántico,08520,Palmar de Varela,25762
08,Atlántico,08549,Piojó,5169
08,Atlántico,08558,Polonuevo,15652
08,Atlántico,08560,Ponedera,23243
08,Atlántico,08573,Puerto Colombia,26741
08,Atlántico,08606,Repelón,27109
08,Atlántico,08634,Sabanagrande,33694
08,Atlántico,08638,Sabanalarga,101339
08,Atlántico,08675,Santa Lucía,11296
08,Atlántico,08685,Santo Tomás,25677
08,Atlántico,08758,Soledad,666247
08,Atlántico,08770,Suan,8470
08,Atlántico,08832,Tubará,11017
08,Atlántico,08849,Usiacurí,9529
11,"Bogotá, D.C.",11001,"Bogotá, D.C.",8181047
13,Bolívar,13001,Cartagena,1036134
13,Bolívar,13006,Achí,24259
13,Bolívar,13030,Altos del Rosario,14485
13,Bolívar,13042,Arenal,20177
13,Bolívar,13052,Arjona,76676
13,Bolívar,13062,Arroyohondo,10305
13,Bolívar,13074,Barranco de Loba,18757
13,Bolívar,13140,Calamar,24246
13,Bolívar,13160,Cantagallo,9718
13,Bolívar,13188,Cicuco,11138
13,Bolívar,13212,Córdoba,12317
13,Bolívar,13222,Clemencia,12857
13,Bolívar,13244,El Carmen de Bolívar,77840
13,Bolívar,13248,El Guamo,7769
13,Bolívar,13268,El Peñón,10112
13,Bolívar,13300,Hatillo de Loba,12200
13,Bolívar,13430,Magangué,123955
13,Bolívar,13433,Mahates,26802
13,Bolívar,13440,Margarita,10151
13,Bolívar,13442,María La Baja,49138
13,Bolívar,13458,Montecristo,22780
13,Bolívar,13468,Mompós,45104
13,Bolívar,13473,Morales,22160
13,Bolívar,13490,Norosí (1),5119
13,Bolívar,13549,Pinillos,25705
13,Bolívar,13580,Regidor,11090
13,Bolívar,13600,Río Viejo (1)(3),18976
13,Bolívar,13620,San Cristóbal,6722
13,Bolívar,13647,San Estanislao,16573
13,Bolívar,13650,San Fernando,14037
13,Bolívar,13654,San Jacinto,21635
13,Bolívar,13655,San Jacinto del Cauca,14349
13,Bolívar,13657,San Juan Nepomuceno,33885
13,Bolívar,13667,San Martín de Loba,18483
13,Bolívar,13670,San Pablo,35559
13,Bolívar,13673,Santa Catalina,13553
13,Bolívar,13683,Santa Rosa,24158
13,Bolívar,13688,Santa Rosa del Sur,44980
13,Bolívar,13744,Simití,21250
13,Bolívar,13760,Soplaviento,8498
13,Bolívar,13780,Talaigua Nuevo,11445
13,Bolívar,13810,Tiquisio,23385
13,Bolívar,13836,Turbaco,75208
13,Bolívar,13838,Turbaná,15353
13,Bolívar,13873,Villanueva,20393
13,Bolívar,13894,Zambrano,11844
15,Boyacá,15001,Tunja,199221
15,Boyacá,15022,Almeida,1601
15,Boyacá,15047,Aquitania,14675
15,Boyacá,15051,Arcabuco,5247
15,Boyacá,15087,Belén,6966
15,Boyacá,15090,Berbeo,1939
15,Boyacá,15092,Betéitiva,1933
15,Boyacá,15097,Boavita,6608
15,Boyacá,15104,Boyacá,4297
15,Boyacá,15106,Briceño,2530
15,Boyacá,15109,Buenavista,5751
15,Boyacá,15114,Busbanzá,1251
15,Boyacá,15131,Caldas,3511
15,Boyacá,15135,Campohermoso,3767
15,Boyacá,15162,Cerinza,3601
15,Boyacá,15172,Chinavita,3437
15,Boyacá,15176,Chiquinquirá,68126
15,Boyacá,15180,Chiscas,3999
15,Boyacá,15183,Chita,9171
15,Boyacá,15185,Chitaraque,5403
15,Boyacá,15187,Chivatá,6579
15,Boyacá,15189,Ciénega,4565
15,Boyacá,15204,Cómbita,15174
15,Boyacá,15212,Coper,3511
15,Boyacá,15215,Corrales,2207
15,Boyacá,15218,Covarachía,2741
15,Boyacá,15223,Cubará,6739
15,Boyacá,15224,Cucaita,4691
15,Boyacá,15226,Cuítiva,1862
15,Boyacá,15232,Chíquiza,5313
15,Boyacá,15236,Chivor,1668
15,Boyacá,15238,Duitama,113954
15,Boyacá,15244,El Cocuy,5122
15,Boyacá,15248,El Espino,4221
15,Boyacá,15272,Firavitoba,5774
15,Boyacá,15276,Floresta,4383
15,Boyacá,15293,Gachantivá,2532
15,Boyacá,15296,Gameza,4622
15,Boyacá,15299,Garagoa,17033
15,Boyacá,15317,Guacamayas,1574
15,Boyacá,15322,Guateque,9411
15,Boyacá,15325,Guayatá,4779
15,Boyacá,15332,Güicán,6609
15,Boyacá,15362,Iza,2412
15,Boyacá,15367,Jenesano,7693
15,Boyacá,15368,Jericó,3814
15,Boyacá,15377,Labranzagrande,5002
15,Boyacá,15380,La Capilla,2404
15,Boyacá,15401,La Victoria,1673
15,Boyacá,15403,La Uvita,2259
15,Boyacá,15407,Villa de Leyva,18050
15,Boyacá,15425,Macanal,4838
15,Boyacá,15442,Maripí,7335
15,Boyacá,15455,Miraflores,9785
15,Boyacá,15464,Mongua,4547
15,Boyacá,15466,Monguí,4983
15,Boyacá,15469,Moniquirá,21242
15,Boyacá,15476,Motavita,8470
15,Boyacá,15480,Muzo,8668
15,Boyacá,15491,Nobsa,16526
15,Boyacá,15494,Nuevo Colón,6680
15,Boyacá,15500,Oicatá,2836
15,Boyacá,15507,Otanche,10689
15,Boyacá,15511,Pachavita,2344
15,Boyacá,15514,Páez,2792
15,Boyacá,15516,Paipa,31582
15,Boyacá,15518,Pajarito,1545
15,Boyacá,15522,Panqueba,1393
15,Boyacá,15531,Pauna,10820
15,Boyacá,15533,Paya,2509
15,Boyacá,15537,Paz de Río,4503
15,Boyacá,15542,Pesca,7543
15,Boyacá,15550,Pisba,1287
15,Boyacá,15572,Puerto Boyacá,56517
15,Boyacá,15580,Quípama,7579
15,Boyacá,15599,Ramiriquí,9763
15,Boyacá,15600,Ráquira,13907
15,Boyacá,15621,Rondón,2767
15,Boyacá,15632,Saboyá,12183
15,Boyacá,15638,Sáchica,3758
15,Boyacá,15646,Samacá,20546
15,Boyacá,15660,San Eduardo,1853
15,Boyacá,15664,San José de Pare,5025
15,Boyacá,15667,San Luis de Gaceno,4774
15,Boyacá,15673,San Mateo,3392
15,Boyacá,15676,San Miguel de Sema,4531
15,Boyacá,15681,San Pablo de Borbur,10382
15,Boyacá,15686,Santana,7628
15,Boyacá,15690,Santa María,3796
15,Boyacá,15693,Santa Rosa de Viterbo,13405
15,Boyacá,15696,Santa Sofía,2585
15,Boyacá,15720,Sativanorte,2215
15,Boyacá,15723,Sativasur,1038
15,Boyacá,15740,Siachoque,8972
15,Boyacá,15753,Soatá,6713
15,Boyacá,15755,Socotá,7549
15,Boyacá,15757,Socha,6973
15,Boyacá,15759,Sogamoso,111799
15,Boyacá,15761,Somondoco,3411
15,Boyacá,15762,Sora,3029
15,Boyacá,15763,Sotaquirá,7340
15,Boyacá,15764,Soracá,5167
15,Boyacá,15774,Susacón,2912
15,Boyacá,15776,Sutamarchán,5833
15,Boyacá,15778,Sutatenza,3939
15,Boyacá,15790,Tasco,6175
15,Boyacá,15798,Tenza,3950
15,Boyacá,15804,Tibaná,9023
15,Boyacá,15806,Tibasosa,14470
15,Boyacá,15808,Tinjacá,3044
15,Boyacá,15810,Tipacoque,3041
15,Boyacá,15814,Toca,10007
15,Boyacá,15816,Togüí,4857
15,Boyacá,15820,Tópaga,3692
15,Boyacá,15822,Tota,5267
15,Boyacá,15832,Tununguá,1913
15,Boyacá,15835,Turmequé,5787
15,Boyacá,15837,Tuta,9856
15,Boyacá,15839,Tutazá,1792
15,Boyacá,15842,Umbita,10337
15,Boyacá,15861,Ventaquemada,15729
15,Boyacá,15879,Viracachá,3146
15,Boyacá,15897,Zetaquira,4374
17,Caldas,17001,Manizales,400136
17,Caldas,17013,Aguadas,21439
17,Caldas,17042,Anserma,33397
17,Caldas,17050,Aranzazu,11026
17,Caldas,17088,Belalcázar,10559
17,Caldas,17174,Chinchiná,50880
17,Caldas,17272,Filadelfia,10548
17,Caldas,17380,La Dorada,78135
17,Caldas,17388,La Merced,5172
17,Caldas,17433,Manzanares,22781
17,Caldas,17442,Marmato,9290
17,Caldas,17444,Marquetalia,15010
17,Caldas,17446,Marulanda,3382
17,Caldas,17486,Neira,31180
17,Caldas,17495,Norcasia,6228
17,Caldas,17513,Pácora,11130
17,Caldas,17524,Palestina,17639
17,Caldas,17541,Pensilvania,26344
17,Caldas,17614,Riosucio,63822
17,Caldas,17616,Risaralda,9254
17,Caldas,17653,Salamina,15697
17,Caldas,17662,Samaná,25794
17,Caldas,17665,San José,7603
17,Caldas,17777,Supía,27300
17,Caldas,17867,Victoria,8124
17,Caldas,17873,Villamaría,59598
17,Caldas,17877,Viterbo,12398
18,Caquetá,18001,Florencia,181493
18,Caquetá,18029,Albania,6434
18,Caquetá,18094,Belén de Los Andaquies,11721
18,Caquetá,18150,Cartagena del Chairá,34953
18,Caquetá,18205,Curillo,11829
18,Caquetá,18247,El Doncello,22267
18,Caquetá,18256,El Paujil,21148
18,Caquetá,18410,La Montañita,24140
18,Caquetá,18460,Milán,11829
18,Caquetá,18479,Morelia,3892
18,Caquetá,18592,Puerto Rico,33623
18,Caquetá,18610,San José del Fragua,15223
18,Caquetá,18753,San Vicente del Caguán,71704
18,Caquetá,18756,Solano,25074
18,Caquetá,18785,Solita,9139
18,Caquetá,18860,Valparaíso,11772
19,Cauca,19001,Popayán,284737
19,Cauca,19022,Almaguer,21351
19,Cauca,19050,Argelia,27454
19,Cauca,19075,Balboa,26210
19,Cauca,19100,Bolívar,44836
19,Cauca,19110,Buenos Aires,34037
19,Cauca,19130,Cajibío,38428
19,Cauca,19137,Caldono,33910
19,Cauca,19142,Caloto(1)(3),17736
19,Cauca,19212,Corinto,33107
19,Cauca,19256,El Tambo,47958
19,Cauca,19290,Florencia,6175
19,Cauca,19300,Guachené (1) ,19920
19,Cauca,19318,Guapi,29931
19,Cauca,19355,Inzá,32150
19,Cauca,19364,Jambaló,18663
19,Cauca,19392,La Sierra,10576
19,Cauca,19397,La Vega,47007
19,Cauca,19418,López,20721
19,Cauca,19450,Mercaderes,18198
19,Cauca,19455,Miranda,41925
19,Cauca,19473,Morales,26535
19,Cauca,19513,Padilla,7744
19,Cauca,19517,Paez,36254
19,Cauca,19532,Patía,37209
19,Cauca,19533,Piamonte,7437
19,Cauca,19548,Piendamó,45355
19,Cauca,19573,Puerto Tejada,46088
19,Cauca,19585,Puracé,15275
19,Cauca,19622,Rosas,13542
19,Cauca,19693,San Sebastián,14314
19,Cauca,19698,Santander de Quilichao,97965
19,Cauca,19701,Santa Rosa,10780
19,Cauca,19743,Silvia,32588
19,Cauca,19760,Sotara,17416
19,Cauca,19780,Suárez,18485
19,Cauca,19785,Sucre,8880
19,Cauca,19807,Timbío,35160
19,Cauca,19809,Timbiquí,21969
19,Cauca,19821,Toribio,30110
19,Cauca,19824,Totoró,21016
19,Cauca,19845,Villa Rica,16781
20,Cesar,20001,Valledupar,483286
20,Cesar,20011,Aguachica,95782
20,Cesar,20013,Agustín Codazzi,49654
20,Cesar,20032,Astrea,19348
20,Cesar,20045,Becerril,13261
20,Cesar,20060,Bosconia,39100
20,Cesar,20175,Chimichagua,30404
20,Cesar,20178,Chiriguaná,18852
20,Cesar,20228,Curumaní,23360
20,Cesar,20238,El Copey,26803
20,Cesar,20250,El Paso,23361
20,Cesar,20295,Gamarra,17278
20,Cesar,20310,González,6398
20,Cesar,20383,La Gloria,12405
20,Cesar,20400,La Jagua de Ibirico,22372
20,Cesar,20443,Manaure,15557
20,Cesar,20517,Pailitas,17462
20,Cesar,20550,Pelaya,18243
20,Cesar,20570,Pueblo Bello,23985
20,Cesar,20614,Río de Oro,13897
20,Cesar,20621,La Paz,22977
20,Cesar,20710,San Alberto,26080
20,Cesar,20750,San Diego,13208
20,Cesar,20770,San Martín,18846
20,Cesar,20787,Tamalameque,13754
23,Córdoba,23001,Montería,460082
23,Córdoba,23068,Ayapel,54144
23,Córdoba,23079,Buenavista,22459
23,Córdoba,23090,Canalete,23028
23,Córdoba,23162,Cereté,93713
23,Córdoba,23168,Chimá,15438
23,Córdoba,23182,Chinú,49841
23,Córdoba,23189,Ciénaga de Oro,67934
23,Córdoba,23300,Cotorra,15547
23,Córdoba,23350,La Apartada,16046
23,Córdoba,23417,Lorica,120558
23,Córdoba,23419,Los Córdobas,25947
23,Córdoba,23464,Momil,15175
23,Córdoba,23466,Montelíbano(1)(3),86858
23,Córdoba,23500,Moñitos,28708
23,Córdoba,23555,Planeta Rica,68810
23,Córdoba,23570,Pueblo Nuevo,40911
23,Córdoba,23574,Puerto Escondido,31834
23,Córdoba,23580,Puerto Libertador,52371
23,Córdoba,23586,Purísima,15172
23,Córdoba,23660,Sahagún,90406
23,Córdoba,23670,San Andrés Sotavento (1) (3),46145
23,Córdoba,23672,San Antero,33096
23,Córdoba,23675,San Bernardo del Viento,35874
23,Córdoba,23678,San Carlos,28236
23,Córdoba,23682,San José de Uré(1),11549
23,Córdoba,23686,San Pelayo,44972
23,Córdoba,23807,Tierralta,107302
23,Córdoba,23815,Tuchín (1),40425
23,Córdoba,23855,Valencia,45926
25,Cundinamarca,25001,Agua de Dios,10733
25,Cundinamarca,25019,Albán,5957
25,Cundinamarca,25035,Anapoima,13928
25,Cundinamarca,25040,Anolaima,11998
25,Cundinamarca,25053,Arbeláez,12412
25,Cundinamarca,25086,Beltrán,2281
25,Cundinamarca,25095,Bituima,2480
25,Cundinamarca,25099,Bojacá,12448
25,Cundinamarca,25120,Cabrera,4434
25,Cundinamarca,25123,Cachipay,9765
25,Cundinamarca,25126,Cajicá,60379
25,Cundinamarca,25148,Caparrapí,16732
25,Cundinamarca,25151,Caqueza,17303
25,Cundinamarca,25154,Carmen de Carupa,9366
25,Cundinamarca,25168,Chaguaní,3962
25,Cundinamarca,25175,Chía,135752
25,Cundinamarca,25178,Chipaque,8401
25,Cundinamarca,25181,Choachí,10553
25,Cundinamarca,25183,Chocontá,27238
25,Cundinamarca,25200,Cogua,23654
25,Cundinamarca,25214,Cota,26463
25,Cundinamarca,25224,Cucunubá,7589
25,Cundinamarca,25245,El Colegio,22163
25,Cundinamarca,25258,El Peñón,4775
25,Cundinamarca,25260,El Rosal,18440
25,Cundinamarca,25269,Facatativá,139364
25,Cundinamarca,25279,Fomeque,12228
25,Cundinamarca,25281,Fosca,7852
25,Cundinamarca,25286,Funza,79545
25,Cundinamarca,25288,Fúquene,5780
25,Cundinamarca,25290,Fusagasugá,142426
25,Cundinamarca,25293,Gachala,5674
25,Cundinamarca,25295,Gachancipá,15632
25,Cundinamarca,25297,Gachetá,11310
25,Cundinamarca,25299,Gama,4045
25,Cundinamarca,25307,Girardot,106818
25,Cundinamarca,25312,Granada,9253
25,Cundinamarca,25317,Guachetá,11348
25,Cundinamarca,25320,Guaduas,40446
25,Cundinamarca,25322,Guasca,15478
25,Cundinamarca,25324,Guataquí,2689
25,Cundinamarca,25326,Guatavita,6958
25,Cundinamarca,25328,Guayabal de Siquima,3659
25,Cundinamarca,25335,Guayabetal,4989
25,Cundinamarca,25339,Gutiérrez,4312
25,Cundinamarca,25368,Jerusalén,2664
25,Cundinamarca,25372,Junín,8701
25,Cundinamarca,25377,La Calera,28568
25,Cundinamarca,25386,La Mesa,32771
25,Cundinamarca,25394,La Palma,11012
25,Cundinamarca,25398,La Peña,7046
25,Cundinamarca,25402,La Vega,14489
25,Cundinamarca,25407,Lenguazaque,10394
25,Cundinamarca,25426,Macheta,6178
25,Cundinamarca,25430,Madrid,82118
25,Cundinamarca,25436,Manta,4769
25,Cundinamarca,25438,Medina,10183
25,Cundinamarca,25473,Mosquera,89108
25,Cundinamarca,25483,Nariño,2249
25,Cundinamarca,25486,Nemocón,14137
25,Cundinamarca,25488,Nilo,19828
25,Cundinamarca,25489,Nimaima,7074
25,Cundinamarca,25491,Nocaima,8157
25,Cundinamarca,25506,Venecia,4084
25,Cundinamarca,25513,Pacho,27780
25,Cundinamarca,25518,Paime,4255
25,Cundinamarca,25524,Pandi,5717
25,Cundinamarca,25530,Paratebueno,7809
25,Cundinamarca,25535,Pasca,12479
25,Cundinamarca,25572,Puerto Salgar,19665
25,Cundinamarca,25580,Pulí,3031
25,Cundinamarca,25592,Quebradanegra,4766
25,Cundinamarca,25594,Quetame,7298
25,Cundinamarca,25596,Quipile,8146
25,Cundinamarca,25599,Apulo,7812
25,Cundinamarca,25612,Ricaurte,9844
25,Cundinamarca,25645,San Antonio del Tequendama,13272
25,Cundinamarca,25649,San Bernardo,10775
25,Cundinamarca,25653,San Cayetano,5354
25,Cundinamarca,25658,San Francisco,10011
25,Cundinamarca,25662,San Juan de Río Seco,9670
25,Cundinamarca,25718,Sasaima,10828
25,Cundinamarca,25736,Sesquilé,15415
25,Cundinamarca,25740,Sibaté,40535
25,Cundinamarca,25743,Silvania,22068
25,Cundinamarca,25745,Simijaca,13741
25,Cundinamarca,25754,Soacha,544997
25,Cundinamarca,25758,Sopó,28518
25,Cundinamarca,25769,Subachoque,17077
25,Cundinamarca,25772,Suesca,18375
25,Cundinamarca,25777,Supatá,5027
25,Cundinamarca,25779,Susa,13189
25,Cundinamarca,25781,Sutatausa,5809
25,Cundinamarca,25785,Tabio,29042
25,Cundinamarca,25793,Tausa,9106
25,Cundinamarca,25797,Tena,9359
25,Cundinamarca,25799,Tenjo,20179
25,Cundinamarca,25805,Tibacuy,4832
25,Cundinamarca,25807,Tibirita,2938
25,Cundinamarca,25815,Tocaima,18704
25,Cundinamarca,25817,Tocancipá,34554
25,Cundinamarca,25823,Topaipí,4493
25,Cundinamarca,25839,Ubalá,10337
25,Cundinamarca,25841,Ubaque,5958
25,Cundinamarca,25843,Villa de San Diego de Ubate,39393
25,Cundinamarca,25845,Une,9561
25,Cundinamarca,25851,Útica,5039
25,Cundinamarca,25862,Vergara,7719
25,Cundinamarca,25867,Vianí,4226
